WantedVehMake,WantedVehModel,WantedVehicleTrim,WantedVehYear,WantedCar,,ID,StoreID,ProspectStatus,ProspectSubStatus
,,,,  ,,35454805,769,Sold,Delivered
,,,,  ,,35716614,20340,Lost,Lead process completed
TOYOTA,COROLLA,,2021,2021 TOYOTA COROLLA,,35714457,58,Active,Sold
,,,,  ,,35708808,301,Bad,Bad or no contact information
Toyota,Highlander,XLE AWD (Natl),2021,2021 Toyota Highlander,,35699917,58,Active,Sold
,,,,  ,,35693745,339,Bad,Duplicate lead
,,,,  ,,35691872,769,Sold,Delivered
,,,,  ,,35691167,769,Sold,Delivered
Toyota,RAV4,Hybrid XSE AWD (Natl),2021,2021 Toyota RAV4,,35674719,58,Active,Up/Contacted
,,,,  ,,35671395,769,Lost,Lead process completed
PORSCHE,911,,2021,2021 PORSCHE 911,,35664984,184,Active,Sold
,,,,  ,,35658741,769,Sold,Delivered
Honda,Pilot,Touring AWD,2017,2017 Honda Pilot,,35620770,58,Active,Sold
Porsche,Macan,,2021,2021 Porsche Macan,,35756626,184,Active,Write Up
,,,,  ,,35744470,766,Bad,Duplicate lead
Porsche,Macan,S AWD,2017,2017 Porsche Macan,,35744241,184,Active,Sold
Ford,F-150,"4WD SuperCab 133"" SVT Raptor",2014,2014 Ford F-150,,35741494,184,Active,Sold
Nissan,Sentra,S CVT,2019,2019 Nissan Sentra,,35737949,58,Active,Sold
Toyota,RAV4,Hybrid XSE AWD (Natl),2021,2021 Toyota RAV4,,35735886,58,Active,Sold
RAM,1500,,, RAM 1500,,35732730,219,Sold,Delivered
,,,,  ,,35721621,20190,Lost,Lead process completed
,,,,  ,,35718003,769,Active,Waiting for prospect response
Jeep,Grand Cherokee,Upland 4x4 *Ltd Avail*,2018,2018 Jeep Grand Cherokee,,35797943,58,Active,Sold
,,,,  ,,35797400,769,Sold,Delivered
Toyota,Tacoma,SR5 Double Cab 5' Bed V6 4x4 AT (Natl),2017,2017 Toyota Tacoma,,35791026,58,Active,Sold
TOYOTA,COROLLA,,2018,2018 TOYOTA COROLLA,,35790563,58,Active,Sold
Porsche,Cayenne,S AWD,2020,2020 Porsche Cayenne,,35785905,184,Active,Sold
,,,,  ,,35775552,20271,Bad,No intent to buy
Toyota,Camry,Hybrid SE CVT (Natl),2020,2020 Toyota Camry,,35775418,58,Active,Sold
TOYOTA,RAV4,,2020,2020 TOYOTA RAV4,,35772733,58,Active,Sold
Toyota,4Runner,SR5 Premium 4WD (Natl),2020,2020 Toyota 4Runner,,35772084,58,Active,Sold
Mazda,Mazda6,4dr Sdn Auto i Grand Touring,2015,2015 Mazda Mazda6,,35769383,58,Active,Sold
,,,,  ,,35761827,58,Active,Demo Vehicle
,,,,  ,,35856965,301,Bad,No intent to buy
TOYOTA,RAV4,,2015,2015 TOYOTA RAV4,,35855223,58,Active,Sold
Porsche,Macan,GTS AWD,2021,2021 Porsche Macan,,35839676,184,Active,Pending F&I
,,,,  ,,35838236,769,Sold,Delivered
,,,,  ,,35832438,769,Sold,Delivered
,,,,  ,,35830334,58,Active,Lost
Toyota,Venza,XLE AWD (Natl),2021,2021 Toyota Venza,,35830218,58,Active,Sold
,,,,  ,,35824291,20271,Lost,Out of market
PORSCHE,Macan,,2021,2021 PORSCHE Macan,,35822194,184,Active,Sold
Porsche,911,Carrera Coupe,2017,2017 Porsche 911,,35814366,184,Active,Lost
,,,,  ,,35813777,769,Sold,Delivered
,,,,  ,,35798910,58,Active,Up/Contacted
