WantedVehMake,WantedVehModel,WantedVehicleTrim,WantedVehYear,WantedCar,,ID,StoreID,ProspectStatus,ProspectSubStatus
BMW,2 Series,2dr Cpe M235i RWD,2015,2015 BMW 2 Series,,36223883,184,Active,Sold
BMW,X7,xDrive40i Sports Activity Vehicle,2020,2020 BMW X7,,36221318,183,Active,Lost
BMW,3 Series,330i Sedan,2017,2017 BMW 3 Series,,36307394,183,Active,Sold
Toyota,C-HR,XLE FWD (Natl),2018,2018 Toyota C-HR,,36304050,58,Active,Sold
Porsche,Macan,GTS AWD,2021,2021 Porsche Macan,,36301706,184,Active,Write Up
Porsche,718 Cayman,T Coupe,2021,2021 Porsche 718 Cayman,,36289836,184,Active,Sold
Toyota,Highlander,XLE V6 AWD (Natl),2019,2019 Toyota Highlander,,36287334,58,Active,Sold
PORSCHE,911,Carrera Coupe,2018,2018 PORSCHE 911,,36284658,184,Active,Sold
Honda,CR-V,LX AWD,2017,2017 Honda CR-V,,36277261,183,Active,Lost
,,,,  ,,36276707,183,Active,Lost
Ford,Mustang,GT Fastback,2019,2019 Ford Mustang,,36276088,58,Active,Write Up
Toyota,RAV4,AWD 4dr Limited (Natl),2014,2014 Toyota RAV4,,36273753,58,Active,Sold
Porsche,911,2dr Cabriolet 991 Carrera S,2012,2012 Porsche 911,,36267046,184,Active,Sold
Toyota,Tacoma,4WD Double Cab V6 AT (Natl),2015,2015 Toyota Tacoma,,36265606,58,Active,Sold
Porsche,911,Carrera Coupe,2018,2018 Porsche 911,,36262762,184,Active,Write Up
,,,,  ,,36262713,769,Sold,Delivered
Ford,F-150,"4WD SuperCab 133"" SVT Raptor",2014,2014 Ford F-150,,36329746,184,Active,Sold
Toyota,Tacoma,SR Access Cab 6' Bed I4 4x4 AT (Natl),2017,2017 Toyota Tacoma,,36329229,58,Active,Lost
Toyota,RAV4,Limited AWD (Natl),2021,2021 Toyota RAV4,,36328273,58,Active,Sold
Ford,Mustang,2dr Conv V6,2011,2011 Ford Mustang,,36325036,183,Active,Sold
BMW,5 Series,540i Sedan,2018,2018 BMW 5 Series,,36322865,183,Active,Sold
BMW,X5,AWD 4dr xDrive35i,2013,2013 BMW X5,,36322373,183,Active,Sold
Lexus,CT 200h,5dr Sdn Hybrid,2014,2014 Lexus CT 200h,,36321958,58,Active,Sold
Toyota,Corolla,LE CVT (Natl),2021,2021 Toyota Corolla,,36321557,58,Active,Sold
Toyota,Camry,SE Auto (Natl),2020,2020 Toyota Camry,,36321447,58,Active,Sold
BMW,3 Series,M340i Sedan North America,2020,2020 BMW 3 Series,,36317963,183,Active,Lost
Porsche,Cayenne,AWD,2021,2021 Porsche Cayenne,,36316761,184,Active,Write Up
Dodge,Journey,FWD 4dr American Value Pkg,2014,2014 Dodge Journey,,36311608,58,Active,Sold
Porsche,Taycan,Turbo Sedan,2020,2020 Porsche Taycan,,36311086,184,Active,Write Up
Genesis,G90,5.0L Ultimate RWD,2018,2018 Genesis G90,,36309398,183,Active,Sold
BMW,M5,Sedan,2021,2021 BMW M5,,36362747,183,Active,Sold
,,,,  ,,36362099,301,Bad,No intent to buy
Toyota,Highlander,XSE AWD (Natl),2021,2021 Toyota Highlander,,36361272,58,Active,Lost
Porsche,Macan,GTS AWD,2021,2021 Porsche Macan,,36359586,184,Active,Sold
,,,,  ,,36358921,769,Sold,Delivered
Porsche,Macan,AWD,2020,2020 Porsche Macan,,36356401,184,Active,Sold
Toyota,Land Cruiser,Heritage Edition 4WD (Natl),2021,2021 Toyota Land Cruiser,,36355702,58,Active,Sold
Toyota,RAV4,Hybrid XLE AWD (Natl) *Ltd Avail*,2021,2021 Toyota RAV4,,36355584,58,Active,Sold
Porsche,Taycan,Turbo S AWD,2021,2021 Porsche Taycan,,36351054,184,Active,Sold
PORSCHE,911,Carrera Coupe,2018,2018 PORSCHE 911,,36350474,184,Active,Sold
Kia,Optima,4dr Sdn 2.4L Auto EX,2012,2012 Kia Optima,,36343137,58,Active,Sold
Toyota,Highlander,Hybrid XLE AWD (Natl),2020,2020 Toyota Highlander,,36341145,58,Active,Sold
Ford,Explorer Sport Trac,"4dr 126"" WB",2001,2001 Ford Explorer Sport Trac,,36337146,58,Active,Up/Contacted
,,,,  ,,36335197,20271,Lost,Lead process completed
Toyota,Highlander,XLE V6 AWD (Natl),2019,2019 Toyota Highlander,,36329998,58,Active,Sold
Toyota,Tacoma 4WD,TRD Off Road Double Cab 5' Bed V6 AT (Natl),2020,2020 Toyota Tacoma 4WD,,36394022,58,Active,Sold
Porsche,718 Boxster,Roadster,2021,2021 Porsche 718 Boxster,,36391952,184,Active,Sold
Porsche,Cayenne,AWD 4dr S,2016,2016 Porsche Cayenne,,36391769,184,Active,Sold
,,,,  ,,36390760,301,Active,Waiting for prospect response
BMW,4 Series,440i Convertible,2018,2018 BMW 4 Series,,36388550,183,Active,Lost
Porsche,911,2dr Cpe Carrera 4S,2009,2009 Porsche 911,,36386500,184,Active,Lost
Lexus,LX 570,4WD 4dr,2013,2013 Lexus LX 570,,36385056,184,Active,Write Up
Porsche,Macan,AWD,2020,2020 Porsche Macan,,36378186,184,Active,Sold
Toyota,Tundra 4WD,SR5 CrewMax 5.5' Bed 5.7L (Natl),2021,2021 Toyota Tundra 4WD,,36377620,58,Active,Sold
,,,,  ,,36377233,766,Active,New Lead
Porsche,Taycan,Turbo S AWD,2021,2021 Porsche Taycan,,36377111,184,Active,Sold
Toyota,Corolla,SE CVT (Natl),2021,2021 Toyota Corolla,,36375760,58,Active,Sold
Nissan,Altima,4dr Sdn I4 2.5 SR,2016,2016 Nissan Altima,,36374334,58,Active,Sold
Porsche,Cayenne,Turbo Coupe AWD,2021,2021 Porsche Cayenne,,36371982,184,Active,Sold
,,,,  ,,36371788,20271,Bad,No intent to buy
Porsche,Macan,GTS AWD,2018,2018 Porsche Macan,,36368366,184,Active,Sold
,,,,  ,,36438468,20340,Active,Active Lead
Honda,Accord,EX-L V6 Automatic Sedan,2008,2008 Honda Accord,,36438070,58,Active,Sold
Toyota,Tacoma 4WD,TRD Off Road Double Cab 5' Bed V6 AT (Natl),2019,2019 Toyota Tacoma 4WD,,36435586,58,Active,Up/Contacted
Land Rover,Range Rover Sport,4WD 4dr Autobiography,2015,2015 Land Rover Range Rover Sport,,36433729,184,Active,Pending F&I
Porsche,Macan,AWD,2020,2020 Porsche Macan,,36427445,184,Active,Pending F&I
Toyota,Camry Hybrid,XSE (4dr Sedan),2021,2021 Toyota Camry Hybrid,,36424815,20271,Lost,Lead process completed
,,,,  ,,36421685,20271,Bad,Duplicate lead
Toyota,Corolla,SE CVT (Natl),2021,2021 Toyota Corolla,,36417844,58,Active,Sold
,,,,  ,,36417472,20330,Bad,Duplicate lead
Toyota,C-HR,XLE FWD (Natl),2018,2018 Toyota C-HR,,36413247,58,Active,Sold
Toyota,Venza,XLE AWD (Natl),2021,2021 Toyota Venza,,36410313,58,Active,Sold
Porsche,911,Carrera 4S Cabriolet,2020,2020 Porsche 911,,36408631,184,Active,Lost
Toyota,Corolla,LE CVT (Natl),2019,2019 Toyota Corolla,,36403458,58,Active,Sold
Subaru,Crosstrek,2.0i Manual,2017,2017 Subaru Crosstrek,,36400494,58,Active,Lost
Porsche,911,Carrera Coupe,2017,2017 Porsche 911,,36395266,184,Active,Sold
,,,,  ,,36395042,20140,Bad,Bad or no contact information
Porsche,Cayenne,AWD,2020,2020 Porsche Cayenne,,36488532,184,Active,Sold
Toyota,RAV4,LE AWD (Natl),2017,2017 Toyota RAV4,,36487678,58,Active,Sold
Ford,Mustang,GT Fastback,2019,2019 Ford Mustang,,36486477,58,Active,Write Up
Hyundai,Genesis,4dr Sdn V8,2011,2011 Hyundai Genesis,,36486075,183,Active,Write Up
Porsche,Macan,AWD,2020,2020 Porsche Macan,,36478802,184,Active,Sold
Toyota,Prius,LE (Natl),2020,2020 Toyota Prius,,36475946,58,Active,Sold
BMW,X5,AWD 4dr xDrive35i,2013,2013 BMW X5,,36474773,183,Active,Sold
Jeep,Patriot,4WD 4dr Sport,2016,2016 Jeep Patriot,,36471207,58,Active,Sold
Toyota,RAV4,Hybrid XLE AWD (Natl),2021,2021 Toyota RAV4,,36460010,58,Active,Sold
Porsche,Macan,GTS AWD,2021,2021 Porsche Macan,,36457544,184,Active,Sold
Toyota,Sienna,5dr 7-Pass Van V6 XLE FWD (Natl),2011,2011 Toyota Sienna,,36452485,58,Active,Lost
Toyota,Tacoma 4WD,TRD Sport Double Cab 5' Bed V6 AT (Natl),2021,2021 Toyota Tacoma 4WD,,36451543,58,Active,Demo Vehicle
Toyota,4Runner,4WD 4dr V6 SR5 (Natl),2008,2008 Toyota 4Runner,,36449296,183,Active,Lost
BMW,4 Series,430i Coupe,2018,2018 BMW 4 Series,,36446598,183,Active,Sold
Jeep,Wrangler,4WD 2dr Sport,2015,2015 Jeep Wrangler,,36445856,58,Active,Sold
,,,,  ,,36442971,769,Bad,No intent to buy
Porsche,911,Carrera S Cabriolet,2017,2017 Porsche 911,,36536372,184,Active,Sold
Dodge,Challenger,2dr Cpe R/T Classic,2012,2012 Dodge Challenger,,36531368,58,Active,Lost
Porsche,Cayenne,AWD,2020,2020 Porsche Cayenne,,36530960,184,Active,Sold
BMW,X5,AWD 4dr 3.0si,2008,2008 BMW X5,,36529292,184,Active,Write Up
Toyota,4Runner,SR5 4WD (Natl),2017,2017 Toyota 4Runner,,36527394,58,Active,Sold
,,,,  ,,36517851,769,Bad,No intent to buy
Toyota,Highlander,XLE AWD (Natl),2021,2021 Toyota Highlander,,36511648,58,Active,Lost
,,,,  ,,36508556,20271,Bad,No intent to buy
Toyota,Corolla,SE Manual (Natl),2018,2018 Toyota Corolla,,36502940,58,Active,Sold
Chevrolet,Equinox,FWD 4dr LT w/1LT,2011,2011 Chevrolet Equinox,,36500468,58,Active,Lost
Mitsubishi,Mirage,ES Manual,2018,2018 Mitsubishi Mirage,,36499403,58,Active,Sold
Toyota,Highlander,XLE FWD (Natl),2020,2020 Toyota Highlander,,36499291,58,Active,Sold
Toyota,Tacoma,SR5 Double Cab 5' Bed V6 4x4 AT (Natl),2017,2017 Toyota Tacoma,,36499132,58,Active,Sold
Dodge,Journey,Crossroad AWD,2018,2018 Dodge Journey,,36498410,58,Active,Sold
Dodge,Challenger,2dr Cpe R/T Classic,2012,2012 Dodge Challenger,,36497960,58,Active,Lost
PORSCHE,911,,2020,2020 PORSCHE 911,,36690094,184,Active,Sold
,,,,  ,,36685198,184,Active,Lost
BMW,M5,Sedan,2021,2021 BMW M5,,36684991,183,Active,Sold
Porsche,Cayenne,E-Hybrid AWD,2019,2019 Porsche Cayenne,,36678892,184,Active,Up/Contacted
Toyota,Camry,Hybrid XSE CVT (Natl),2021,2021 Toyota Camry,,36648791,58,Active,Write Up
PORSCHE,Macan Turbo,,2021,2021 PORSCHE Macan Turbo,,36626510,184,Active,Sold
Jeep,Grand Cherokee,Upland 4x4 *Ltd Avail*,2018,2018 Jeep Grand Cherokee,,36618870,58,Active,Sold
Porsche,911,Carrera Coupe,2018,2018 Porsche 911,,36610023,184,Active,Up/Contacted
PORSCHE,CAYENNE,AWD,2020,2020 PORSCHE CAYENNE,,36604864,184,Active,Sold
Subaru,Forester,4dr CVT 2.5i Premium PZEV,2015,2015 Subaru Forester,,36584813,183,Active,Sold
Toyota,Camry,SE Auto (Natl),2021,2021 Toyota Camry,,36582556,58,Active,Sold
PORSCHE,Macan,AWD,2019,2019 PORSCHE Macan,,36564503,184,Active,Sold
Toyota,Tacoma 4WD,TRD Off Road Double Cab 6' Bed V6 AT (Natl),2019,2019 Toyota Tacoma 4WD,,36553601,58,Active,Sold
Porsche,Macan,AWD,2017,2017 Porsche Macan,,36536550,184,Active,Sold
Toyota,Camry,4dr Sdn I4 Auto XLE (Natl),2015,2015 Toyota Camry,,36536469,58,Active,Sold
Porsche,911,Carrera Coupe,2017,2017 Porsche 911,,36832854,184,Active,Sold
Porsche,911,Carrera 4S Cabriolet,2017,2017 Porsche 911,,36828929,184,Active,Lost
PORSCHE,Macan Turbo,,2021,2021 PORSCHE Macan Turbo,,36826966,184,Active,Sold
Toyota,Corolla,4dr Sdn CVT S (Natl),2016,2016 Toyota Corolla,,36826778,58,Active,Sold
,,,,  ,,36826486,20271,Lost,Out of market
,,,,  ,,36813866,20330,Lost,No agreement reached
Toyota,Venza,Limited AWD (Natl),2021,2021 Toyota Venza,,36808875,58,Active,Sold
Porsche,Cayenne,AWD,2021,2021 Porsche Cayenne,,36797053,184,Active,Lost
,,,,  ,,36790412,769,Sold,Delivered
Toyota,RAV4,Hybrid LE AWD (Natl),2019,2019 Toyota RAV4,,36786622,58,Active,Sold
Toyota,Prius Prime,LE (Natl),2021,2021 Toyota Prius Prime,,36777899,58,Active,Sold
Lexus,LX 570,4WD 4dr,2013,2013 Lexus LX 570,,36768843,184,Active,Write Up
Porsche,Macan,AWD,2020,2020 Porsche Macan,,36734723,184,Active,Pending F&I
Honda,Accord Coupe,EX-L V6 Auto,2017,2017 Honda Accord Coupe,,36715252,183,Active,Lost
Porsche,Macan,S AWD,2020,2020 Porsche Macan,,36690732,184,Active,Unqualified
Toyota,Sienna,5dr 8-Pass Van V6 LE FWD (Natl),2012,2012 Toyota Sienna,,37128320,58,Active,Sold
BMW,X5,xDrive35i Sports Activity Vehicle,2018,2018 BMW X5,,37069538,183,Active,Up/Contacted
Toyota,4Runner,4WD 4dr V6 Limited (Natl),2011,2011 Toyota 4Runner,,37066494,58,Active,Sold
Porsche,911,Carrera 4S Cabriolet,2017,2017 Porsche 911,,37051891,184,Active,Up/Contacted
BMW,X5,xDrive35i Sports Activity Vehicle,2018,2018 BMW X5,,37019286,183,Active,Lost
TOYOTA,4RUNNER,,2021,2021 TOYOTA 4RUNNER,,36993672,58,Active,Sold
BMW,M3,Competition,2021,2021 BMW M3,,36968870,20330,Lost,Lead process completed
BMW,X2,sDrive28i Sports Activity Vehicle,2021,2021 BMW X2,,36958903,183,Active,Store Visit
Toyota,GR Supra,3.0 Premium Auto (Natl),2021,2021 Toyota GR Supra,,36942655,58,Active,Sold
Porsche,Macan,AWD,2020,2020 Porsche Macan,,36916972,184,Active,Sold
,,,,  ,,36903439,769,Sold,Delivered
Toyota,Highlander,XSE AWD (Natl),2021,2021 Toyota Highlander,,36879494,58,Active,Lost
,,,,  ,,41944169,301,Bad,No intent to buy
Mercedes-Benz,GLB,GLB 250,2021,2021 Mercedes-Benz GLB,,41928159,766,Active,Active Lead
,,,,  ,,41910362,715,Bad,No intent to buy
Porsche,911,Turbo S Coupe,2022,2022 Porsche 911,,41910361,184,Active,Up/Contacted
Hyundai,Santa Fe,SEL AWD,2021,2021 Hyundai Santa Fe,,41928161,48,Active,Unqualified
Honda,Passport,EX-L,2021,2021 Honda Passport,,41910365,762,Sold,Delivered
,,,,  ,,41928163,755,Lost,Out of market
Honda,Civic Type R,Touring,2021,2021 Honda Civic Type R,,41911435,748,Sold,Delivered
Dodge,Challenger,R/T Scat Pack,2016,2016 Dodge Challenger,,41911436,301,Sold,Delivered
Acura,ILX,w/Premium Package,2021,2021 Acura ILX,,41577589,20200,Sold,Delivered
Chevrolet,Cruze,LS,2014,2014 Chevrolet Cruze,,41832405,20200,Sold,Delivered
Honda,Accord Sedan,,2021,2021 Honda Accord Sedan,,41929149,20250,Active,Active Lead
Honda,Civic Sedan,LX,2021,2021 Honda Civic Sedan,,41911442,20250,Sold,Delivered
Honda,Civic Sedan,EX-L,2017,2017 Honda Civic Sedan,,41911441,20250,Sold,Delivered
Acura,ILX,w/Premium Package,2021,2021 Acura ILX,,41929146,20200,Sold,Delivered
PORSCHE,Macan,,2021,2021 PORSCHE Macan,,39088638,184,Active,Sold
,,,,  ,,36256995,20739,Sold,Delivered
,,,,  ,,40669308,739,Sold,Delivered
,,,,  ,,35732844,20739,Sold,Delivered
Honda,HR-V,EX-L,2020,2020 Honda HR-V,,35412993,762,Sold,Delivered
Honda,HR-V,EX-L,2020,2020 Honda HR-V,,35363858,762,Sold,Delivered
Honda,CR-V,EX-L,2019,2019 Honda CR-V,,36231938,762,Active,Active Lead
Honda,CR-V,EX-L,2019,2019 Honda CR-V,,36227470,762,Active,Active Lead
Honda,CR-V,EX-L,2019,2019 Honda CR-V,,36408992,762,Sold,Delivered
Honda,CR-V,EX-L,2019,2019 Honda CR-V,,36562424,762,Sold,Delivered
Honda,Pilot,,2014,2014 Honda Pilot,,35781885,20250,Active,Active Lead
Honda,Pilot,,2014,2014 Honda Pilot,,35876244,20250,Active,Active Lead
Honda,Pilot,,2014,2014 Honda Pilot,,36258085,20250,Lost,Lead process completed
,,,,  ,,36154143,20250,Bad,Duplicate lead
,,,,  ,,36016822,20250,Bad,Duplicate lead
Honda,Passport,Touring,2021,2021 Honda Passport,,35349662,20250,Active,Active Lead
,,,,  ,,41607386,58,Active,Lost
Honda,Accord,Sport SE,2021,2021 Honda Accord,,36299858,762,Active,Active Lead
Honda,HR-V,EX,2020,2020 Honda HR-V,,36323482,762,Sold,Pending Finance
Honda,Pilot,EX-L,2018,2018 Honda Pilot,,34781267,339,Sold,Delivered
Honda,CR-V,EX,2021,2021 Honda CR-V,,36263089,762,Sold,Delivered
,,,,  ,,41786799,20200,Sold,Delivered
,,,,  ,,36168532,751,Sold,Delivered
Honda,Passport,EX-L,2021,2021 Honda Passport,,36683256,762,Sold,Delivered
Honda,CR-V,EX,2021,2021 Honda CR-V,,36690446,762,Sold,Delivered
Toyota,Tundra 4WD,SR5,2021,2021 Toyota Tundra 4WD,,36241363,6,Active,Active Lead
Toyota,Tundra 4WD,SR5,2021,2021 Toyota Tundra 4WD,,36329497,6,Sold,Delivered
Honda,CR-V,EX-L,2018,2018 Honda CR-V,,36364696,762,Sold,Delivered
Porsche,Macan,Turbo AWD,2021,2021 Porsche Macan,,41687355,184,Active,Write Up
,,,,  ,,37652301,20350,Sold,Delivered
Honda,Insight,EX,2019,2019 Honda Insight,,36358285,20250,Active,Active Lead
Honda,Pilot,Black Edition,2021,2021 Honda Pilot,,36360128,762,Sold,Delivered
,,,,  ,,35412233,48,Active,Unqualified
,,,,  ,,35956968,48,Active,Unqualified
Porsche,Macan,S AWD,2020,2020 Porsche Macan,,37164280,184,Active,Sold
,,,,  ,,35992179,6,Lost,Bad Credit
Toyota,Camry,Hybrid XSE CVT (Natl),2021,2021 Toyota Camry,,37192023,58,Active,Sold
Toyota,Camry,Hybrid XSE CVT (Natl),2021,2021 Toyota Camry,,40965532,58,Active,Sold
Mercedes-Benz,E-Class,AMG E 63 S 4MATIC+ Wagon,2020,2020 Mercedes-Benz E-Class,,41448383,184,Active,Lost
Ford,Focus,SE,2016,2016 Ford Focus,,33640267,20250,Sold,Delivered
,,,,  ,,36013709,762,Active,Active Lead
Honda,Civic,EX,2020,2020 Honda Civic,,36205874,762,Sold,Delivered
Hyundai,Veloster,3dr Cpe Auto,2015,2015 Hyundai Veloster,,36060210,48,Active,Lost
Buick,Encore,,2016,2016 Buick Encore,,35961952,20739,Lost,Lead process completed
Hyundai,Any/All,,, Hyundai Any/All,,34977891,48,Active,Up/Contacted
Hyundai,Any/All,,, Hyundai Any/All,,36023814,48,Active,Up/Contacted
,,,,  ,,35931794,762,Active,Active Lead
Honda,CR-V,EX-L,2018,2018 Honda CR-V,,36389625,762,Lost,Out of market
Honda,CR-V,,2021,2021 Honda CR-V,,36061467,20250,Sold,Delivered
TOYOTA,4RUNNER,,2021,2021 TOYOTA 4RUNNER,,37675180,58,Active,Sold
Ram,2500,Big Horn,2021,2021 Ram 2500,,34829076,339,Active,Active Lead
Honda,Pilot,EX-L,2016,2016 Honda Pilot,,36150152,230,Sold,Delivered
,,,,  ,,41068322,6,Lost,Lead process completed
Ford,F-150,Raptor,2020,2020 Ford F-150,,41268959,241,Sold,Delivered
Mercury,Grand Marquis,LS,2006,2006 Mercury Grand Marquis,,35850200,241,Sold,Delivered
Volvo,XC90,T6 Inscription,2019,2019 Volvo XC90,,40390409,241,Sold,Delivered
Mercedes-Benz,C-Class,C 300,2019,2019 Mercedes-Benz C-Class,,36008597,20250,Lost,Lead process completed
Hyundai,Any/All,,, Hyundai Any/All,,40449566,48,Active,Up/Contacted
Honda,Civic Hatchback,EX,2021,2021 Honda Civic Hatchback,,36382179,20250,Sold,Delivered
Honda,Civic,EX-L,2020,2020 Honda Civic,,34571366,762,Sold,Delivered
Honda,Civic,EX-L,2020,2020 Honda Civic,,36654672,762,Sold,Delivered
,,,,  ,,35491250,20490,Sold,Delivered
Subaru,Crosstrek,CVT,2021,2021 Subaru Crosstrek,,36581243,751,Sold,Delivered
Honda,CR-V,EX-L,2021,2021 Honda CR-V,,40896837,762,Sold,Delivered
Porsche,911,Carrera Coupe,2017,2017 Porsche 911,,39038717,184,Active,Lost
Jeep,Renegade,4WD 4dr Latitude,2015,2015 Jeep Renegade,,36916675,48,Active,Sold
Jeep,Renegade,4WD 4dr Latitude,2015,2015 Jeep Renegade,,36322506,48,Active,Sold
Jeep,Renegade,4WD 4dr Latitude,2015,2015 Jeep Renegade,,36715860,48,Active,Sold
Honda,Accord Sedan,Sport SE,2021,2021 Honda Accord Sedan,,35666654,762,Sold,Delivered
Honda,Accord Sedan,Sport SE,2021,2021 Honda Accord Sedan,,36188832,762,Sold,Pending Finance
Honda,Accord,,2019,2019 Honda Accord,,36220436,762,Active,Active Lead
,,,,  ,,36807127,339,Sold,Delivered
,,,,  ,,36782503,339,Sold,Delivered
,,,,  ,,37087859,339,Sold,Delivered
Toyota,Tacoma,TRD Sport V6 (4x4 Double Cab 5 ft. box 127.4 in. W,2021,2021 Toyota Tacoma,,36096920,6,Active,Active Lead
,,,,  ,,36137631,6,Active,Active Lead
,,,,  ,,36275506,6,Active,Active Lead
Toyota,RAV4,FWD 4dr LE (Natl),2013,2013 Toyota RAV4,,41752678,58,Active,Store Visit
,,,,  ,,35894296,20490,Sold,Delivered
,,,,  ,,40644890,724,Sold,Delivered
,,,,  ,,35480877,751,Sold,Delivered
Toyota,Tacoma,TRD Sport,2021,2021 Toyota Tacoma,,36506238,6,Sold,Delivered
Honda,Accord Hybrid,,2020,2020 Honda Accord Hybrid,,35330779,20250,Sold,Delivered
Honda,Accord Sedan,,2018,2018 Honda Accord Sedan,,35914449,20250,Sold,Delivered
Honda,Civic,,2017,2017 Honda Civic,,36014141,20250,Sold,Delivered
,,,,  ,,39054722,20330,Lost,No agreement reached
Chevrolet,Traverse,AWD 4dr LT w/2LT,2009,2009 Chevrolet Traverse,,40490209,58,Active,Lost
Volkswagen,Passat,4dr Sdn 2.5L Auto SE w/Sunroof PZEV,2012,2012 Volkswagen Passat,,36083168,48,Active,Lost
Toyota,Highlander,LE V6 AWD (Natl),2019,2019 Toyota Highlander,,41665592,58,Active,Sold
Honda,CR-V,EX,2021,2021 Honda CR-V,,34599064,20250,Sold,Delivered
Honda,Accord,Sport 1.5T,2021,2021 Honda Accord,,36080244,20250,Sold,Delivered
Honda,Accord,Sport 1.5T,2021,2021 Honda Accord,,36366274,20250,Sold,Delivered
GMC,SIERRA 2500,"4WD Crew Cab 159""",2021,2021 GMC SIERRA 2500,,39215522,143,Active,Sold
Honda,Civic Sedan,Sport,2021,2021 Honda Civic Sedan,,36292086,20250,Sold,Delivered
Honda,Civic Sedan,Sport,2021,2021 Honda Civic Sedan,,34586447,20250,Sold,Delivered
,,,,  ,,36157222,6,Active,Active Lead
,,,,  ,,35610624,6,Lost,Lead process completed
,,,,  ,,35116215,6,Active,Active Lead
Honda,CR-V,EX-L,2020,2020 Honda CR-V,,36410960,762,Active,Active Lead
Honda,CR-V,EX,2021,2021 Honda CR-V,,36279074,20250,Sold,Delivered
Honda,Civic Sedan,EX,2021,2021 Honda Civic Sedan,,40747127,762,Sold,Delivered
,,,,  ,,35935215,339,Sold,Delivered
,,,,  ,,35614429,20490,Sold,Delivered
FIAT,500e BATTERY ELECTRIC,2dr HB,2013,2013 FIAT 500e BATTERY ELECTRIC,,40870846,184,Active,Sold
RAM,1500,Sport,2015,2015 RAM 1500,,36369660,241,Sold,Delivered
,,,,  ,,40629266,739,Sold,Delivered
,,,,  ,,41404321,58,Active,Lost
Hyundai,Elantra,SE 2.0L Auto (Ulsan Plant),2017,2017 Hyundai Elantra,,36014483,48,Active,Lost
Acura,RLX,w/Technology Pkg,2020,2020 Acura RLX,,35617993,763,Active,Active Lead
,,,,  ,,39097837,751,Sold,Delivered
,,,,  ,,35825950,20330,Sold,Delivered
Hyundai,Any/All,,, Hyundai Any/All,,40481906,48,Active,Write Up
,,,,  ,,36616666,751,Sold,Delivered
,,,,  ,,35688361,339,Sold,Delivered
,,,,  ,,40638619,717,Bad,Duplicate lead
,,,,  ,,36154620,751,Sold,Delivered
,,,,  ,,40629584,717,Lost,Out of market
Honda,HR-V,,2020,2020 Honda HR-V,,35957874,20250,Sold,Delivered
Honda,Odyssey,Touring,2021,2021 Honda Odyssey,,36662886,762,Sold,Delivered
Jeep,Grand Cherokee,Laredo,2007,2007 Jeep Grand Cherokee,,36080407,762,Sold,Delivered
Honda,CR-V,,2021,2021 Honda CR-V,,35921573,20250,Sold,Delivered
Nissan,Altima,,2017,2017 Nissan Altima,,35953349,20250,Sold,Delivered
Toyota,Tacoma,DOUBCAB,2013,2013 Toyota Tacoma,,36334621,6,Sold,Delivered
,,,,  ,,40374892,20490,Sold,Delivered
,,,,  ,,40652392,724,Sold,Delivered
Toyota,Tacoma,TRD Pro Double Cab 5' Bed V6 4x4 AT (SE),2018,2018 Toyota Tacoma,,40401879,58,Active,Lost
Toyota,Tacoma,TRD Pro Double Cab 5' Bed V6 4x4 AT (SE),2018,2018 Toyota Tacoma,,39181421,58,Active,Up/Contacted
,,,,  ,,35864557,48,Active,Store Visit
,,,,  ,,35746126,48,Active,Store Visit
Mercedes-Benz,GLC 300,GLC 300,2020,2020 Mercedes-Benz GLC 300,,36756153,230,Sold,Delivered
,,,,  ,,36196556,241,Lost,Lead process completed
,,,,  ,,35962698,20330,Lost,Lead process completed
Toyota,Tacoma,TRD Off Road,2020,2020 Toyota Tacoma,,35983967,6,Sold,Delivered
Honda,CR-V,EX,2020,2020 Honda CR-V,,36433669,762,Sold,Delivered
Toyota,4Runner,TRD Pro,2021,2021 Toyota 4Runner,,41830534,6,Sold,Delivered
Toyota,Corolla,4dr Sdn CVT S Plus (Natl),2015,2015 Toyota Corolla,,40399359,58,Active,Sold
,,,,  ,,41944171,6,Active,Active Lead
Kia,Niro,Touring Launch Edition FWD,2017,2017 Kia Niro,,39091335,184,Active,Lost
Honda,Civic,,2019,2019 Honda Civic,,36160088,20250,Sold,Delivered
PORSCHE,Macan Turbo,,2021,2021 PORSCHE Macan Turbo,,39146252,184,Active,Sold
Kia,Sportage,EX AWD,2019,2019 Kia Sportage,,36399814,48,Active,Lost
Hyundai,Sonata Hybrid,Limited 2.0L,2021,2021 Hyundai Sonata Hybrid,,35879052,48,Active,Lost
Hyundai,Sonata Hybrid,Limited 2.0L,2021,2021 Hyundai Sonata Hybrid,,36117020,48,Active,Lost
,,,,  ,,36221103,20490,Sold,Delivered
,,,,  ,,40673471,724,Sold,Delivered
,,,,  ,,36952071,20490,Sold,Delivered
Honda,Civic Sedan,,2018,2018 Honda Civic Sedan,,35758350,20250,Sold,Pending Finance
Honda,Civic Sedan,,2018,2018 Honda Civic Sedan,,36129711,20250,Active,Active Lead
Honda,CR-V,EX,2020,2020 Honda CR-V,,36141065,762,Sold,Delivered
,,,,  ,,40685225,717,Lost,Lead process completed
,,,,  ,,35935247,751,Sold,Delivered
,,,,  ,,41384770,327,Sold,Delivered
Nissan,Sentra,S,2017,2017 Nissan Sentra,,34660200,20250,Sold,Delivered
Honda,CR-V,,2021,2021 Honda CR-V,,35934228,20250,Sold,Delivered
